scheme_name,Alpha,Beta,R_squared
ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.021086316250128002,0.0003480482030714242
ABSL Liquid Fund - Regular - Growth,0.060861457957871144,0.0002667096833823833,4.607623677105198e-05
ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351527,0.0010641052735572626
Axis Bluechip Fund - Direct - Growth,0.08232801295222093,0.02588321244009314,0.0005692038090244865
Axis Bluechip Fund - Regular - Growth,0.0689952982167755,0.009730745001153628,8.08263769381076e-05
Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.06626542862803761,0.0019368789369602344
Axis Small Cap Fund - Regular - Growth,0.048015953637759554,-0.06695117463929204,0.001185159346448673
DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.0025230046646992563,3.3579781920088836e-06
DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.011455159960520721,3.5329906267955714e-05
DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006519,1.3227607880850361e-05
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739153,4.043746553634245e-05
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.005103525830528331,1.2066520635068268e-05
HDFC Short Term Debt Fund - Regular - Growth,0.042817920315060876,0.0011582183155281454,1.4612842041845003e-05
HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.0488204042595774,0.0018401792783071592
HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443282,-0.05826843143880895,0.0026650326981333275
ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761416993,0.00021216129075887427
ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.040268952369820595,0.001397444608331861
ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099539,-0.0004440926329707225,0.00013430661440679811
ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.0005490042506317005,1.345534167566829e-07
ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.041896462728119754,0.0012571178108220728
Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.036356399022199816,0.0012113711061211877
Kotak Emerging Equity Fund - Regular - Growth,0.0780443887615508,0.018056874208118145,0.00016915548838314332
Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.022829569792426566,0.0003430543427151455
Kotak Liquid Fund - Regular - Growth,0.06455677495375998,-0.00040074423947840073,0.00010125435692271747
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.02638771994384303,0.0004859264752797324
Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.023683558075848626,0.000462543690662385
Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859218,0.00017488886568129512
Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.0014335213897801022,2.0253408972327574e-06
Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976104,0.0012566742731558612,1.651665231033315e-05
Nippon India Large Cap Fund - Direct - Growth,0.15643835948169668,-0.036639006718609354,0.0011382947171084277
Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.00835383212696199,5.791756270127789e-05
Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337586,0.0027930065610663234
SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.02615930751351343,0.0005850821704543438
SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.03175144113890976,0.0008869788879322832
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276463,0.00043426033217200323
SBI Small Cap Fund - Direct Plan - Growth,0.048824215945539845,0.06200180438267165,0.0010259205326765954
SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.0231960620440597,0.00014142575502721724
UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770855,0.00018619166432850236
UTI Mid Cap Fund - Regular - Growth,0.028969397866379445,-0.042125029021894314,0.0008964294600687576
UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474546,0.0003828503073092389
