company_id,year,capital_allocation
ABB,2012,Weak
ABB,2014,Weak
ABB,2015,Average
ABB,2016,Average
ABB,2017,Good
ABB,2018,Weak
ABB,2019,Good
ABB,2020,Good
ABB,2021,Good
ABB,2022,Good
ABB,2023,Average
ABB,2024,Good
ADANIENSOL,2015,Poor
ADANIENSOL,2016,Weak
ADANIENSOL,2017,Weak
ADANIENSOL,2018,Weak
ADANIENSOL,2019,Weak
ADANIENSOL,2020,Weak
ADANIENSOL,2021,Weak
ADANIENSOL,2022,Weak
ADANIENSOL,2023,Weak
ADANIENSOL,2024,Weak
ADANIENT,2013,Weak
ADANIENT,2014,Average
ADANIENT,2015,Average
ADANIENT,2016,Poor
ADANIENT,2017,Poor
ADANIENT,2018,Poor
ADANIENT,2019,Poor
ADANIENT,2020,Poor
ADANIENT,2021,Poor
ADANIENT,2022,Poor
ADANIENT,2023,Average
ADANIENT,2024,Average
ADANIGREEN,2017,Poor
ADANIGREEN,2018,Poor
ADANIGREEN,2019,Poor
ADANIGREEN,2020,Poor
ADANIGREEN,2021,Good
ADANIGREEN,2022,Excellent
ADANIGREEN,2023,Excellent
ADANIGREEN,2024,Excellent
ADANIPORTS,2013,Average
ADANIPORTS,2014,Weak
ADANIPORTS,2015,Average
ADANIPORTS,2016,Average
ADANIPORTS,2017,Average
ADANIPORTS,2018,Average
ADANIPORTS,2019,Average
ADANIPORTS,2020,Average
ADANIPORTS,2021,Average
ADANIPORTS,2022,Average
ADANIPORTS,2023,Average
ADANIPORTS,2024,Average
ADANIPOWER,2013,Poor
ADANIPOWER,2014,Poor
ADANIPOWER,2015,Poor
ADANIPOWER,2016,Average
ADANIPOWER,2017,Poor
ADANIPOWER,2018,Poor
ADANIPOWER,2019,Poor
ADANIPOWER,2020,Poor
ADANIPOWER,2021,Excellent
ADANIPOWER,2022,Excellent
ADANIPOWER,2023,Weak
ADANIPOWER,2024,Weak
AMBUJACEM,2012,Average
AMBUJACEM,2013,Average
AMBUJACEM,2014,Average
AMBUJACEM,2015,Weak
AMBUJACEM,2016,Average
AMBUJACEM,2017,Average
AMBUJACEM,2018,Weak
AMBUJACEM,2019,Average
AMBUJACEM,2020,Average
AMBUJACEM,2021,Average
AMBUJACEM,2023,Weak
AMBUJACEM,2024,Average
APOLLOHOSP,2013,Average
APOLLOHOSP,2014,Average
APOLLOHOSP,2015,Average
APOLLOHOSP,2016,Weak
APOLLOHOSP,2017,Poor
APOLLOHOSP,2018,Poor
APOLLOHOSP,2019,Weak
APOLLOHOSP,2020,Good
APOLLOHOSP,2021,Poor
APOLLOHOSP,2022,Good
APOLLOHOSP,2023,Good
APOLLOHOSP,2024,Good
ASIANPAINT,2013,Good
ASIANPAINT,2014,Good
ASIANPAINT,2015,Average
ASIANPAINT,2016,Excellent
ASIANPAINT,2017,Weak
ASIANPAINT,2018,Good
ASIANPAINT,2019,Good
ASIANPAINT,2020,Good
ASIANPAINT,2021,Good
ASIANPAINT,2022,Weak
ASIANPAINT,2023,Average
ASIANPAINT,2024,Good
AXISBANK,2013,Weak
AXISBANK,2014,Weak
AXISBANK,2015,Weak
AXISBANK,2016,Weak
AXISBANK,2017,Weak
AXISBANK,2018,Poor
AXISBANK,2019,Weak
AXISBANK,2020,Poor
AXISBANK,2021,Weak
AXISBANK,2022,Weak
AXISBANK,2023,Weak
AXISBANK,2024,Weak
BAJAJ-AUTO,2013,Weak
BAJAJ-AUTO,2014,Good
BAJAJ-AUTO,2015,Weak
BAJAJ-AUTO,2016,Average
BAJAJ-AUTO,2017,Average
BAJAJ-AUTO,2018,Good
BAJAJ-AUTO,2019,Weak
BAJAJ-AUTO,2020,Weak
BAJAJ-AUTO,2021,Weak
BAJAJ-AUTO,2022,Weak
BAJAJ-AUTO,2023,Average
BAJAJ-AUTO,2024,Average
BAJAJFINSV,2013,Weak
BAJAJFINSV,2014,Weak
BAJAJFINSV,2015,Weak
BAJAJFINSV,2016,Weak
BAJAJFINSV,2017,Weak
BAJAJFINSV,2018,Weak
BAJAJFINSV,2019,Weak
BAJAJFINSV,2020,Weak
BAJAJFINSV,2021,Weak
BAJAJFINSV,2022,Weak
BAJAJFINSV,2023,Weak
BAJAJFINSV,2024,Weak
BAJAJHLDNG,2013,Weak
BAJAJHLDNG,2014,Weak
BAJAJHLDNG,2015,Weak
BAJAJHLDNG,2016,Weak
BAJAJHLDNG,2017,Weak
BAJAJHLDNG,2018,Weak
BAJAJHLDNG,2019,Weak
BAJAJHLDNG,2020,Weak
BAJAJHLDNG,2021,Weak
BAJAJHLDNG,2022,Weak
BAJAJHLDNG,2023,Weak
BAJAJHLDNG,2024,Weak
BAJFINANCE,2015,Weak
BAJFINANCE,2016,Weak
BAJFINANCE,2017,Weak
BAJFINANCE,2018,Weak
BAJFINANCE,2019,Weak
BAJFINANCE,2020,Weak
BAJFINANCE,2021,Weak
BAJFINANCE,2022,Weak
BAJFINANCE,2023,Weak
BAJFINANCE,2024,Weak
BANKBARODA,2013,Weak
BANKBARODA,2014,Weak
BANKBARODA,2015,Weak
BANKBARODA,2016,Poor
BANKBARODA,2017,Weak
BANKBARODA,2018,Poor
BANKBARODA,2019,Poor
BANKBARODA,2020,Poor
BANKBARODA,2021,Poor
BANKBARODA,2022,Weak
BANKBARODA,2023,Weak
BANKBARODA,2024,Weak
BEL,2013,Weak
BEL,2014,Weak
BEL,2015,Good
BEL,2016,Excellent
BEL,2017,Weak
BEL,2018,Weak
BEL,2019,Average
BEL,2020,Excellent
BEL,2021,Excellent
BEL,2022,Excellent
BEL,2023,Weak
BEL,2024,Good
BHARTIARTL,2013,Poor
BHARTIARTL,2014,Weak
BHARTIARTL,2015,Average
BHARTIARTL,2016,Average
BHARTIARTL,2017,Weak
BHARTIARTL,2018,Poor
BHARTIARTL,2019,Poor
BHARTIARTL,2020,Poor
BHARTIARTL,2021,Poor
BHARTIARTL,2022,Average
BHARTIARTL,2023,Average
BHARTIARTL,2024,Average
BHEL,2013,Poor
BHEL,2014,Poor
BHEL,2015,Poor
BHEL,2016,Poor
BHEL,2017,Poor
BHEL,2018,Poor
BHEL,2019,Poor
BHEL,2020,Poor
BHEL,2021,Poor
BHEL,2022,Poor
BHEL,2023,Poor
BHEL,2024,Poor
BOSCHLTD,2012,Average
BOSCHLTD,2013,Good
BOSCHLTD,2015,Good
BOSCHLTD,2016,Average
BOSCHLTD,2017,Average
BOSCHLTD,2018,Excellent
BOSCHLTD,2019,Weak
BOSCHLTD,2020,Average
BOSCHLTD,2021,Weak
BOSCHLTD,2022,Weak
BOSCHLTD,2023,Average
BOSCHLTD,2024,Weak
BPCL,2013,Average
BPCL,2014,Excellent
BPCL,2015,Excellent
BPCL,2016,Excellent
BPCL,2017,Average
BPCL,2018,Good
BPCL,2019,Good
BPCL,2020,Excellent
BPCL,2021,Excellent
BPCL,2022,Excellent
BPCL,2023,Average
BPCL,2024,Excellent
BRITANNIA,2013,Excellent
BRITANNIA,2014,Excellent
BRITANNIA,2015,Average
BRITANNIA,2016,Good
BRITANNIA,2017,Weak
BRITANNIA,2018,Excellent
BRITANNIA,2019,Good
BRITANNIA,2020,Good
BRITANNIA,2021,Good
BRITANNIA,2022,Average
BRITANNIA,2023,Good
BRITANNIA,2024,Excellent
CANBK,2013,Weak
CANBK,2014,Weak
CANBK,2015,Weak
CANBK,2016,Poor
CANBK,2017,Weak
CANBK,2018,Poor
CANBK,2019,Poor
CANBK,2020,Poor
CANBK,2021,Weak
CANBK,2022,Weak
CANBK,2023,Weak
CANBK,2024,Weak
CHOLAFIN,2013,Weak
CHOLAFIN,2014,Weak
CHOLAFIN,2015,Weak
CHOLAFIN,2016,Weak
CHOLAFIN,2017,Weak
CHOLAFIN,2018,Weak
CHOLAFIN,2019,Weak
CHOLAFIN,2020,Weak
CHOLAFIN,2021,Weak
CHOLAFIN,2022,Weak
CHOLAFIN,2023,Weak
CHOLAFIN,2024,Weak
CIPLA,2013,Average
CIPLA,2014,Good
CIPLA,2015,Average
CIPLA,2016,Good
CIPLA,2017,Average
CIPLA,2018,Good
CIPLA,2019,Good
CIPLA,2020,Good
CIPLA,2021,Excellent
CIPLA,2022,Excellent
CIPLA,2023,Good
CIPLA,2024,Average
COALINDIA,2013,Weak
COALINDIA,2014,Average
COALINDIA,2015,Good
