company_id,previous_year,previous_pattern,latest_year,latest_pattern
ABB,2014,Weak,2015,Average
ABB,2016,Average,2017,Good
ABB,2017,Good,2018,Weak
ABB,2018,Weak,2019,Good
ABB,2022,Good,2023,Average
ABB,2023,Average,2024,Good
ADANIENSOL,2015,Poor,2016,Weak
ADANIENT,2013,Weak,2014,Average
ADANIENT,2015,Average,2016,Poor
ADANIENT,2022,Poor,2023,Average
ADANIGREEN,2020,Poor,2021,Good
ADANIGREEN,2021,Good,2022,Excellent
ADANIPORTS,2013,Average,2014,Weak
ADANIPORTS,2014,Weak,2015,Average
ADANIPOWER,2015,Poor,2016,Average
ADANIPOWER,2016,Average,2017,Poor
ADANIPOWER,2020,Poor,2021,Excellent
ADANIPOWER,2022,Excellent,2023,Weak
AMBUJACEM,2014,Average,2015,Weak
AMBUJACEM,2015,Weak,2016,Average
AMBUJACEM,2017,Average,2018,Weak
AMBUJACEM,2018,Weak,2019,Average
AMBUJACEM,2023,Weak,2024,Average
APOLLOHOSP,2015,Average,2016,Weak
APOLLOHOSP,2016,Weak,2017,Poor
APOLLOHOSP,2018,Poor,2019,Weak
APOLLOHOSP,2019,Weak,2020,Good
APOLLOHOSP,2020,Good,2021,Poor
APOLLOHOSP,2021,Poor,2022,Good
ASIANPAINT,2014,Good,2015,Average
ASIANPAINT,2015,Average,2016,Excellent
ASIANPAINT,2016,Excellent,2017,Weak
ASIANPAINT,2017,Weak,2018,Good
ASIANPAINT,2021,Good,2022,Weak
ASIANPAINT,2022,Weak,2023,Average
ASIANPAINT,2023,Average,2024,Good
AXISBANK,2017,Weak,2018,Poor
AXISBANK,2018,Poor,2019,Weak
AXISBANK,2019,Weak,2020,Poor
AXISBANK,2020,Poor,2021,Weak
BAJAJ-AUTO,2013,Weak,2014,Good
BAJAJ-AUTO,2014,Good,2015,Weak
BAJAJ-AUTO,2015,Weak,2016,Average
BAJAJ-AUTO,2017,Average,2018,Good
BAJAJ-AUTO,2018,Good,2019,Weak
BAJAJ-AUTO,2022,Weak,2023,Average
BANKBARODA,2015,Weak,2016,Poor
BANKBARODA,2016,Poor,2017,Weak
BANKBARODA,2017,Weak,2018,Poor
BANKBARODA,2021,Poor,2022,Weak
BEL,2014,Weak,2015,Good
BEL,2015,Good,2016,Excellent
BEL,2016,Excellent,2017,Weak
BEL,2018,Weak,2019,Average
BEL,2019,Average,2020,Excellent
BEL,2022,Excellent,2023,Weak
BEL,2023,Weak,2024,Good
BHARTIARTL,2013,Poor,2014,Weak
BHARTIARTL,2014,Weak,2015,Average
BHARTIARTL,2016,Average,2017,Weak
BHARTIARTL,2017,Weak,2018,Poor
BHARTIARTL,2021,Poor,2022,Average
BOSCHLTD,2012,Average,2013,Good
BOSCHLTD,2015,Good,2016,Average
BOSCHLTD,2017,Average,2018,Excellent
BOSCHLTD,2018,Excellent,2019,Weak
BOSCHLTD,2019,Weak,2020,Average
BOSCHLTD,2020,Average,2021,Weak
BOSCHLTD,2022,Weak,2023,Average
BOSCHLTD,2023,Average,2024,Weak
BPCL,2013,Average,2014,Excellent
BPCL,2016,Excellent,2017,Average
BPCL,2017,Average,2018,Good
BPCL,2019,Good,2020,Excellent
BPCL,2022,Excellent,2023,Average
BPCL,2023,Average,2024,Excellent
BRITANNIA,2014,Excellent,2015,Average
BRITANNIA,2015,Average,2016,Good
BRITANNIA,2016,Good,2017,Weak
BRITANNIA,2017,Weak,2018,Excellent
BRITANNIA,2018,Excellent,2019,Good
BRITANNIA,2021,Good,2022,Average
BRITANNIA,2022,Average,2023,Good
BRITANNIA,2023,Good,2024,Excellent
CANBK,2015,Weak,2016,Poor
CANBK,2016,Poor,2017,Weak
CANBK,2017,Weak,2018,Poor
CANBK,2020,Poor,2021,Weak
CIPLA,2013,Average,2014,Good
CIPLA,2014,Good,2015,Average
CIPLA,2015,Average,2016,Good
CIPLA,2016,Good,2017,Average
CIPLA,2017,Average,2018,Good
CIPLA,2020,Good,2021,Excellent
CIPLA,2022,Excellent,2023,Good
CIPLA,2023,Good,2024,Average
COALINDIA,2013,Weak,2014,Average
COALINDIA,2014,Average,2015,Good
COALINDIA,2015,Good,2016,Average
COALINDIA,2016,Average,2017,Good
COALINDIA,2017,Good,2018,Average
COALINDIA,2019,Average,2020,Weak
COALINDIA,2020,Weak,2021,Average
COALINDIA,2021,Average,2022,Excellent
COALINDIA,2022,Excellent,2023,Good
COALINDIA,2023,Good,2024,Weak
DABUR,2014,Good,2015,Average
DABUR,2018,Average,2019,Good
DABUR,2020,Good,2021,Excellent
DABUR,2021,Excellent,2022,Good
DABUR,2022,Good,2023,Average
DABUR,2023,Average,2024,Good
DIVISLAB,2014,Weak,2015,Average
DIVISLAB,2016,Average,2017,Good
DIVISLAB,2017,Good,2018,Average
DIVISLAB,2018,Average,2019,Weak
DIVISLAB,2019,Weak,2020,Average
DIVISLAB,2021,Average,2022,Weak
DIVISLAB,2022,Weak,2023,Good
DIVISLAB,2023,Good,2024,Weak
DLF,2017,Poor,2018,Weak
DLF,2019,Weak,2020,Poor
DLF,2021,Poor,2022,Weak
DMART,2013,Average,2014,Good
DMART,2016,Good,2017,Average
DMART,2020,Average,2021,Good
DMART,2021,Good,2022,Average
DMART,2022,Average,2023,Good
DRREDDY,2013,Average,2014,Good
DRREDDY,2015,Good,2016,Excellent
DRREDDY,2017,Excellent,2018,Average
DRREDDY,2018,Average,2019,Excellent
